employee_id,name,department,level,city,age,years_at_company,salary,bonus,total_comp,performance_score,remote_ratio,overtime_hours,training_hours,fte
EMP00001,Calin Georgescu,Engineering,Junior,Iasi,29,4,10902.0,738.0,11640.0,2.32,74,4,34,1.0
EMP00002,Laura Matei,Sales,Junior,Timisoara,31,2,16626.0,1948.0,18574.0,3.17,19,0,31,1.0
EMP00003,Mirela Ilie,Security,Junior,Iasi,22,1,10318.0,672.0,10990.0,3.67,62,0,30,1.0
EMP00004,Cristian Stoica,HR,Senior,Sibiu,31,10,15205.0,1658.0,16863.0,2.26,34,0,21,1.0
EMP00005,Elena Popescu,Data,Lead,Bucharest,36,6,39784.0,3327.0,43111.0,4.75,66,8,35,1.0
EMP00006,Bianca Enache,Engineering,Senior,Brasov,48,9,32029.0,2381.0,34410.0,3.25,64,0,29,1.0
EMP00007,Calin Luca,Finance,Lead,Cluj-Napoca,35,12,23176.0,2212.0,25388.0,3.54,72,5,30,1.0
EMP00008,Teodora Georgescu,R&D,Senior,Remote,37,9,20232.0,3032.0,23264.0,3.62,89,4,21,0.72
EMP00009,Iulia Voicu,Sales,Lead,Bucharest,37,12,43647.0,3126.0,46773.0,3.24,33,5,24,1.0
EMP00010,Laura Stoica,Sales,Junior,Bucharest,28,0,17580.0,266.0,17846.0,3.83,43,5,19,1.0
EMP00011,Vlad Dobre,Finance,Senior,Brasov,33,8,19316.0,2362.0,21678.0,3.59,32,6,15,1.0
EMP00012,Stefan Enache,Sales,Lead,Sibiu,43,12,38460.0,2114.0,40574.0,4.5,55,3,33,1.0
EMP00013,Radu Petrescu,Operations,Mid,Bucharest,26,3,14980.0,1891.0,16871.0,4.04,8,7,23,1.0
EMP00014,Radu Matei,Procurement,Senior,Oradea,49,6,10236.0,1261.0,11497.0,4.22,26,2,30,1.0
EMP00015,Cristian Stoica,Engineering,Junior,Timisoara,24,3,20565.0,2092.0,22657.0,4.13,82,7,21,1.0
EMP00016,Gabriel Dumitru,Engineering,Junior,Timisoara,24,1,10614.0,1172.0,11786.0,3.0,73,4,27,1.0
EMP00017,Daniela Ionescu,Sales,Mid,Bucharest,26,5,22260.0,926.0,23186.0,3.48,36,8,18,1.0
EMP00018,Mihai Petrescu,Customer Success,Junior,Cluj-Napoca,22,1,5936.0,303.0,6239.0,3.71,13,2,13,0.63
EMP00019,Teodora Enache,Product,Senior,Bucharest,40,8,26996.0,4230.0,31226.0,4.69,55,0,19,1.0
EMP00020,Laura Popescu,Product,Junior,Remote,22,1,8959.0,305.0,9264.0,3.93,40,4,28,1.0
EMP00021,Vlad Popescu,Operations,Mid,Bucharest,38,2,9512.0,616.0,10128.0,3.41,10,2,25,1.0
EMP00022,Cristian Stoica,Data,Mid,Timisoara,35,8,12861.0,1109.0,13970.0,3.44,72,6,27,1.0
EMP00023,Ana Luca,Finance,Mid,Bucharest,25,4,18460.0,887.0,19347.0,3.0,1,1,33,1.0
EMP00024,Laura Stan,Marketing,Mid,Bucharest,26,5,13942.0,116.0,14058.0,4.33,64,9,20,1.0
EMP00025,Cristian Stan,Marketing,Senior,Timisoara,50,14,22268.0,1669.0,23937.0,5.0,64,3,23,1.0
EMP00026,Mirela Marin,Data,Junior,Bucharest,27,2,8654.0,588.0,9242.0,3.11,69,0,14,1.0
EMP00027,Alex Ionescu,Marketing,Mid,Cluj-Napoca,30,3,14869.0,1292.0,16161.0,3.04,63,6,21,1.0
EMP00028,Teodora Stan,Sales,Junior,Brasov,31,2,7087.0,571.0,7658.0,4.27,32,5,23,1.0
EMP00029,Stefan Georgescu,Sales,Junior,Cluj-Napoca,26,4,15678.0,1160.0,16838.0,3.5,37,12,26,1.0
EMP00030,Denis Marin,Data,Mid,Brasov,29,4,21299.0,2506.0,23805.0,4.46,62,0,23,1.0
EMP00031,Mihai Enache,Operations,Junior,Cluj-Napoca,25,4,12563.0,767.0,13330.0,3.44,14,4,27,1.0
EMP00032,Radu Matei,Compliance,Junior,Bucharest,26,1,6795.0,431.0,7226.0,3.41,42,3,23,1.0
EMP00033,Mihai Luca,Sales,Junior,Timisoara,24,3,16905.0,515.0,17420.0,4.3,43,3,24,1.0
EMP00034,Calin Popescu,Product,Mid,Timisoara,32,4,14552.0,518.0,15070.0,3.76,65,0,23,1.0
EMP00035,Alex Enache,Finance,Mid,Iasi,36,2,11213.0,1412.0,12625.0,2.91,12,5,41,1.0
EMP00036,Mirela Voicu,Product,Junior,Bucharest,28,3,17954.0,1681.0,19635.0,3.65,65,4,28,1.0
EMP00037,Laura Popescu,Finance,Mid,Bucharest,36,2,12899.0,37.0,12936.0,3.43,38,1,38,1.0
EMP00038,Ioana Stoica,Legal,Senior,Bucharest,49,14,19061.0,1658.0,20719.0,2.79,0,11,20,1.0
EMP00039,Iulia Dumitru,Marketing,Senior,Timisoara,29,8,23113.0,3378.0,26491.0,3.38,36,4,15,1.0
EMP00040,Teodora Popescu,Legal,Mid,Bucharest,30,3,21619.0,813.0,22432.0,3.09,23,2,48,1.0
EMP00041,Alex Voicu,Data,Junior,Timisoara,22,1,16541.0,450.0,16991.0,2.96,61,5,17,1.0
EMP00042,Stefan Dobre,Finance,Lead,Iasi,36,15,16369.0,1099.0,17468.0,3.87,32,0,18,1.0
EMP00043,Bianca Stoica,Customer Success,Junior,Sibiu,26,3,9738.0,221.0,9959.0,3.02,9,4,9,1.0
EMP00044,Stefan Luca,Operations,Mid,Brasov,31,6,15356.0,920.0,16276.0,3.83,29,7,18,1.0
EMP00045,Stefan Marin,Legal,Junior,Timisoara,22,1,8176.0,353.0,8529.0,3.53,10,1,8,1.0
EMP00046,Bianca Dobre,Product,Senior,Pitesti,38,10,32586.0,4695.0,37281.0,5.0,69,6,25,1.0
EMP00047,Alex Popescu,Operations,Junior,Iasi,30,1,8383.0,362.0,8745.0,3.86,12,6,13,1.0
EMP00048,Ioana Stan,Business Intelligence,Mid,Galati,40,7,16317.0,1783.0,18100.0,4.37,37,3,27,1.0
EMP00049,Daniela Dobre,Finance,Senior,Brasov,50,13,22307.0,4212.0,26519.0,3.13,17,9,34,0.66
EMP00050,Radu Voicu,Customer Success,Junior,Timisoara,27,4,11258.0,470.0,11728.0,4.04,30,0,19,1.0
EMP00051,Monica Stoica,Product,Senior,Craiova,39,16,14560.0,1308.0,15868.0,3.99,53,5,24,1.0
EMP00052,Teodora Stan,Engineering,Junior,Cluj-Napoca,27,0,8919.0,962.0,9881.0,3.72,62,1,26,0.78
EMP00053,Laura Petrescu,Finance,Mid,Oradea,29,4,12052.0,550.0,12602.0,3.7,22,1,8,1.0
EMP00054,Vlad Voicu,Sales,Senior,Iasi,32,11,28576.0,2836.0,31412.0,3.93,47,9,33,1.0
EMP00055,Stefan Ilie,Customer Success,Lead,Bucharest,50,16,33086.0,3481.0,36567.0,3.54,53,8,20,1.0
EMP00056,Laura Georgescu,Finance,Senior,Iasi,41,12,27600.0,1957.0,29557.0,2.99,21,2,32,1.0
EMP00057,Gabriel Luca,Sales,Junior,Pitesti,25,0,8105.0,355.0,8460.0,4.34,11,11,15,1.0
EMP00058,Mirela Dobre,Engineering,Lead,Timisoara,49,6,29394.0,1887.0,31281.0,3.72,81,10,8,0.87
EMP00059,Andrei Marin,Finance,Junior,Bucharest,23,0,9471.0,520.0,9991.0,2.79,63,0,19,1.0
EMP00060,Radu Voicu,Sales,Mid,Arad,33,8,21317.0,2200.0,23517.0,3.74,23,5,20,1.0
EMP00061,Monica Dumitru,Product,Senior,Iasi,30,9,19856.0,2573.0,22429.0,2.58,58,0,24,1.0
EMP00062,Ioana Stan,Engineering,Lead,Bucharest,40,11,45451.0,9855.0,55306.0,3.65,73,2,37,1.0
EMP00063,Monica Dumitru,Product,Mid,Iasi,26,2,10315.0,1175.0,11490.0,4.35,73,2,26,1.0
EMP00064,Calin Matei,Marketing,Mid,Craiova,40,5,7052.0,390.0,7442.0,2.62,48,2,33,1.0
